Date	Open	High	Low	Close	Aclose	Volume
Apr 16, 2020	174.30	177.28	172.90	177.04	177.04	50,168,800
Apr 15, 2020	171.20	173.57	169.24	171.88	171.88	40,940,800
Apr 14, 2020	169.00	173.75	168.00	173.70	173.70	52,874,300
Apr 13, 2020	164.35	165.57	162.30	165.51	165.51	41,905,300
Apr 09, 2020	166.36	167.37	163.33	165.14	165.14	51,431,800
Apr 08, 2020	165.67	166.67	163.50	165.13	165.13	48,318,200
Apr 07, 2020	169.59	170.00	163.26	163.49	163.49	62,769,000
Apr 06, 2020	160.32	166.50	157.58	165.27	165.27	67,111,700
Apr 03, 2020	155.10	157.38	152.19	153.83	153.83	41,243,300
Apr 02, 2020	151.86	155.48	150.36	155.26	155.26	49,630,700
Apr 01, 2020	153.00	157.75	150.82	152.11	152.11	57,969,900
Mar 31, 2020	159.40	164.78	156.56	157.71	157.71	77,927,200
Mar 30, 2020	152.44	160.60	150.01	160.23	160.23	63,420,300
Mar 27, 2020	151.75	154.89	149.20	149.70	149.70	57,042,300
Mar 26, 2020	148.40	156.66	148.37	156.11	156.11	64,568,100
Mar 25, 2020	148.91	154.33	144.44	146.92	146.92	75,638,200
Mar 24, 2020	143.75	149.60	141.27	148.34	148.34	82,516,700
Mar 23, 2020	137.01	140.57	132.52	135.98	135.98	78,975,200
Mar 20, 2020	146.00	147.10	135.86	137.35	137.35	84,866,200
Mar 19, 2020	142.77	150.15	139.00	142.71	142.71	85,922,700
Mar 18, 2020	138.00	146.00	135.02	140.40	140.40	81,593,200
Mar 17, 2020	140.00	147.50	135.00	146.57	146.57	81,059,800
Mar 16, 2020	140.00	149.35	135.00	135.42	135.42	87,905,900
Mar 13, 2020	147.50	161.91	140.73	158.83	158.83	92,727,400
Mar 12, 2020	145.30	153.47	138.58	139.06	139.06	93,226,400
Mar 11, 2020	157.13	157.70	151.15	153.63	153.63	56,371,600
Mar 10, 2020	158.16	161.03	152.58	160.92	160.92	65,354,400
Mar 09, 2020	151.00	157.75	150.00	150.62	150.62	70,419,300
Mar 06, 2020	162.61	163.11	156.00	161.57	161.57	72,821,100
Mar 05, 2020	166.05	170.87	165.69	166.27	166.27	47,817,300
Mar 04, 2020	168.49	170.70	165.62	170.55	170.55	49,814,400
Mar 03, 2020	173.80	175.00	162.26	164.51	164.51	71,677,000
